name,mean_diff,ci_lo,ci_hi,prob_gt0,prob_lt0,p_two_tailed
envy,0.3799177590366072,0.14983308523312114,0.6228440818899686,0.9995833333333334,4.166666666666667e-4,8.333333333333334e-4
etaa,-2.431879519719556,-6.912094841593347,1.069443326240343,0.11416666666666667,0.8858333333333334,0.22833333333333333
etak,-2.0433480423569605,-4.7169653403385245,0.07709198372289416,0.03666666666666667,0.9633333333333334,0.07333333333333333
gama,0.10419578703663816,-0.27715183266172605,0.4597694405479815,0.7225,0.2775,0.555
guilt,-0.001111314523440443,-0.015838934770246813,0.0174686528189243,0.39958333333333335,0.6004166666666667,0.7991666666666667
kapa,1.2847914197603152,0.5186739602286429,2.1151107049961206,1,0,0
lambda,0.8722522102364391,-4.530765352403878,6.30228801373547,0.6377083333333333,0.3622916666666667,0.7245833333333334
maxp,0.01288242671533777,-0.03822618429249018,0.06311900359703286,0.695,0.305,0.61
minp,0.045782470035060925,0.007575240540835816,0.08316143765096998,0.9920833333333333,0.007916666666666667,0.015833333333333335
oumiga,0.14077705189001577,-0.023207760270909785,0.33118017793574184,0.94875,0.05125,0.1025
